location,msn,timestamp,load_1d,energy_supplied,energy_billed,loss_ratio,technical_loss_kwh
Bengaluru,0653DAA9,2021-01-01 00:00:00+05:30,194.54,208.32999999999998,194.24,0.06692927679416379,14.090000000000002
Bengaluru,0653DAA9,2021-01-02 00:00:00+05:30,243.78,264.21,244.08,0.07659948804837698,20.130000000000003
Bengaluru,0653DAA9,2021-01-03 00:00:00+05:30,233.11,250.52,232.31,0.07138873387628213,18.21
Bengaluru,0653DAA9,2021-01-04 00:00:00+05:30,267.89,287.1,267.24,0.06972634000099595,19.86
Bengaluru,0653DAA9,2021-01-05 00:00:00+05:30,276.52,300.33,277.89,0.07377332097936537,22.439999999999998
Bengaluru,0653DAA9,2021-01-06 00:00:00+05:30,228.56,248.92,229.05,0.08088907494188938,19.87
Bengaluru,0653DAA9,2021-01-07 00:00:00+05:30,232.46,251.83,231.75,0.07977250440458153,20.08
Bengaluru,0653DAA9,2021-01-08 00:00:00+05:30,264.41,284.34,264.77,0.06844202551208424,19.569999999999997
Bengaluru,0653DAA9,2021-01-09 00:00:00+05:30,241.56,262.88,241.67,0.08124121485239773,21.21
Bengaluru,0653DAA9,2021-01-10 00:00:00+05:30,248.81,269.79,248.97,0.07768327256066282,20.819999999999997
Bengaluru,0653DAA9,2021-01-11 00:00:00+05:30,236.22,255.41,235.69,0.07802228204738584,19.719999999999995
Bengaluru,0653DAA9,2021-01-12 00:00:00+05:30,221.15,239.34,221.43,0.07174028668304684,17.91
Bengaluru,0653DAA9,2021-01-13 00:00:00+05:30,264.93,286.55,264.77,0.0744542694184836,21.779999999999998
Bengaluru,0653DAA9,2021-01-14 00:00:00+05:30,245.87,265.57,245.03,0.075533051995185,20.540000000000003
Bengaluru,0653DAA9,2021-01-15 00:00:00+05:30,230.68,250.77,231.53,0.07336663615109941,19.240000000000002
Bengaluru,0653DAA9,2021-01-16 00:00:00+05:30,250.2,270.94,250.78,0.07509612465291356,20.16
Bengaluru,0653DAA9,2021-01-17 00:00:00+05:30,256.46,278.05,256.69,0.08060241688052326,21.36
Bengaluru,0653DAA9,2021-01-18 00:00:00+05:30,236.65,257.43,237.54,0.07911368582737667,19.89
Bengaluru,0653DAA9,2021-01-19 00:00:00+05:30,265.68,289.41,267.15,0.07856752688154553,22.26
Bengaluru,0653DAA9,2021-01-20 00:00:00+05:30,257.48,276.03,257.14,0.0725969414221831,18.89
Bengaluru,0653DAA9,2021-01-21 00:00:00+05:30,221.34,237.41,220.84,0.07157185821439854,16.569999999999997
Bengaluru,0653DAA9,2021-01-22 00:00:00+05:30,247.05,268.03,247.3,0.07312621320606769,20.73
Bengaluru,0653DAA9,2021-01-23 00:00:00+05:30,244.02,263.84,245.31,0.06824297352240451,18.53
Bengaluru,0653DAA9,2021-01-24 00:00:00+05:30,231.19,250.15,230.89000000000001,0.08145941888004672,19.259999999999998
Bengaluru,0653DAA9,2021-01-25 00:00:00+05:30,245.69,264.66,245.71,0.07183048843244201,18.95
Bengaluru,0653DAA9,2021-01-26 00:00:00+05:30,232.65,253.23,233.92,0.07317786688365631,19.31
Bengaluru,0653DAA9,2021-01-27 00:00:00+05:30,257.08,274.34,256.88,0.0659497849896006,17.46
Bengaluru,0653DAA9,2021-01-28 00:00:00+05:30,247.92000000000002,267.99,246.88,0.08205917331134745,21.11
Bengaluru,0653DAA9,2021-01-29 00:00:00+05:30,252.93,272.62,252.85,0.07315323304568974,19.77
Bengaluru,0653DAA9,2021-01-30 00:00:00+05:30,230.1,250.03,230.0,0.07941878496844187,20.03
Bengaluru,0653DAA9,2021-01-31 00:00:00+05:30,239.55,259.83,239.94,0.07874914392126692,19.889999999999997
Bengaluru,0653DAA9,2021-02-01 00:00:00+05:30,254.6,276.34000000000003,254.84,0.07653907240534565,21.500000000000004
Bengaluru,0653DAA9,2021-02-02 00:00:00+05:30,227.25,243.29,227.32999999999998,0.07128212092328073,15.959999999999999
